,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_SLUG,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
452,1630582,"Pons, Yves",Yves Pons,1,2021,2021,yves_pons,yves_pons,1610612763,Memphis,Grizzlies,MEM,grizzlies,grizzlies,Y,11
453,1629673,"Poole, Jordan",Jordan Poole,1,2019,2021,jordan_poole,jordan_poole,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,01
454,1629645,"Porter Jr., Kevin",Kevin Porter Jr.,1,2019,2021,kevin_porter_jr,kevin_porter_jr,1610612745,Houston,Rockets,HOU,rockets,rockets,Y,01
455,1629008,"Porter Jr., Michael",Michael Porter Jr.,1,2018,2021,michael_porter_jr,michael_porter_jr,1610612743,Denver,Nuggets,DEN,nuggets,nuggets,Y,00
456,203490,"Porter Jr., Otto",Otto Porter Jr.,1,2013,2021,otto_porter_jr,otto_porter_jr,1610612744,Golden State,Warriors,GSW,warriors,warriors,Y,00
457,1626171,"Portis, Bobby",Bobby Portis,1,2015,2021,bobby_portis,bobby_portis,1610612749,Milwaukee,Bucks,MIL,bucks,bucks,Y,01
458,204001,"Porzingis, Kristaps",Kristaps Porzingis,1,2015,2021,kristaps_porzingis,kristaps_porzingis,1610612764,Washington,Wizards,WAS,wizards,wizards,Y,00
460,203939,"Powell, Dwight",Dwight Powell,1,2014,2021,dwight_powell,dwight_powell,1610612742,Dallas,Mavericks,DAL,mavericks,mavericks,Y,01
461,1629619,"Powell, Myles",Myles Powell,1,2021,2021,myles_powell,myles_powell,1610612755,Philadelphia,76ers,PHI,sixers,sixers,Y,11
462,1626181,"Powell, Norman",Norman Powell,1,2015,2021,norman_powell,norman_powell,1610612746,LA,Clippers,LAC,clippers,clippers,Y,01
464,1630563,"Primo, Joshua",Joshua Primo,1,2021,2021,joshua_primo,joshua_primo,1610612759,San Antonio,Spurs,SAS,spurs,spurs,Y,11
465,1627752,"Prince, Taurean",Taurean Prince,1,2016,2021,taurean_prince,taurean_prince,1610612750,Minnesota,Timberwolves,MIN,timberwolves,timberwolves,Y,01
466,1630202,"Pritchard, Payton",Payton Pritchard,1,2020,2021,payton_pritchard,payton_pritchard,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,00
